id,neighbourhood_cleansed,room_type_simple,accommodates,bedrooms,price_clean,price_category,latitude,longitude,review_scores_rating,number_of_reviews,host_is_superhost
1440001816803615929,Copacabana,Casa/Apto Inteiro,3,1.0,461.0,Médio-Baixo,-22.9852501,-43.1900475,,0,f
1303528559132181405,Botafogo,Casa/Apto Inteiro,2,1.0,252.0,Baixo,-22.9524,-43.18284,5.0,7,f
695095518857603105,Jacarepaguá,Casa/Apto Inteiro,5,2.0,252.0,Baixo,-22.96596,-43.39576,4.7,40,f
25952188,Méier,Quarto Privado,2,,,,-22.89308,-43.27829,,0,f
1232706425221536658,Ipanema,Casa/Apto Inteiro,4,2.0,400.0,Médio-Baixo,-22.980730045450063,-43.20085814115823,5.0,7,t
1349191856500895489,Barra da Tijuca,Casa/Apto Inteiro,8,4.0,1200.0,Médio-Alto,-23.00778,-43.3097,,0,f
1341529566241950545,Barra da Tijuca,Casa/Apto Inteiro,4,1.0,380.0,Médio-Baixo,-23.01023045139654,-43.33366356790066,5.0,14,t
822923206165045984,Jacarepaguá,Casa/Apto Inteiro,4,2.0,523.0,Médio-Baixo,-22.96353218945397,-43.40102977619718,5.0,7,f
959357933861152696,Itanhangá,Quarto Privado,2,1.0,328.0,Médio-Baixo,-23.000643112249048,-43.30643795140261,5.0,2,f
1339317760445134110,Copacabana,Casa/Apto Inteiro,2,1.0,2800.0,Alto,-22.96200859241911,-43.17732243281639,5.0,2,f
41882674,Encantado,Quarto Privado,5,2.0,,,-22.89132,-43.29891,5.0,1,f
528389,Gávea,Casa/Apto Inteiro,2,1.0,230.0,Baixo,-22.97318,-43.22614,4.27,15,f
1158674185819521403,Laranjeiras,Casa/Apto Inteiro,6,2.0,176.0,Baixo,-22.9362922,-43.1895847,4.8,10,t
1237151308720466155,Copacabana,Casa/Apto Inteiro,6,3.0,492.0,Médio-Baixo,-22.9644742,-43.1773412,5.0,22,t
957926638490013003,Itanhangá,Casa/Apto Inteiro,12,4.0,3500.0,Alto,-22.9840716,-43.3012982,,0,
1285762762021460246,Copacabana,Casa/Apto Inteiro,4,2.0,440.0,Médio-Baixo,-22.98485716614016,-43.19090028129442,5.0,10,f
779425505295270864,Santa Teresa,Casa/Apto Inteiro,4,1.0,215.0,Baixo,-22.91716387119176,-43.178791143000126,4.9,94,t
944825804257515335,Ipanema,Casa/Apto Inteiro,6,3.0,938.0,Médio,-22.9847958,-43.1999674,5.0,9,f
771894474636513194,Centro,Casa/Apto Inteiro,4,2.0,1053.0,Médio,-22.9141266,-43.1834788,4.91,23,f
1273460035274620633,Copacabana,Casa/Apto Inteiro,8,2.0,440.0,Médio-Baixo,-22.9660779,-43.1821651,4.3,10,f
39990663,Portuguesa,Quarto Privado,2,1.0,178.0,Baixo,-22.79589,-43.20718,4.77,95,t
1248914591975212805,Santo Cristo,Casa/Apto Inteiro,9,2.0,200.0,Baixo,-22.906876582904783,-43.20650026817459,4.75,24,t
1348896338713459746,Copacabana,Casa/Apto Inteiro,5,1.0,361.0,Médio-Baixo,-22.974349095916786,-43.18915687501431,4.75,4,f
1373331244185604930,Recreio dos Bandeirantes,Quarto Privado,2,,,,-23.01276,-43.45116,5.0,1,f
1432010781122272059,Leme,Quarto Privado,3,1.0,152.0,Baixo,-22.964214168222465,-43.17181837885302,,0,f
764205,Botafogo,Quarto Privado,6,3.0,,,-22.94333,-43.18522,5.0,1,t
1437979688331020919,Copacabana,Casa/Apto Inteiro,2,1.0,236.0,Baixo,-22.96922,-43.1847,5.0,1,f
1024146069934956670,Copacabana,Casa/Apto Inteiro,4,1.0,167.0,Baixo,-22.96504,-43.17878,4.93,56,t
757786139574460249,Barra da Tijuca,Casa/Apto Inteiro,2,1.0,184.0,Baixo,-23.00368,-43.34008,4.83,76,t
1363113837199407113,Ipanema,Casa/Apto Inteiro,4,1.0,624.0,Médio,-22.98540322209971,-43.19891728465576,5.0,11,t
